title_base,genre,duration_min,avg_rating,year,director,title,movie_id,pace,description
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Reloaded,M035,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Reloaded,M036,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Evolution,M037,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Evolution,M038,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Evolution,M039,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Evolution,M040,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Evolution,M041,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Evolution,M042,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Evolution,M043,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Evolution,M044,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Evolution,M045,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Evolution,M046,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Evolution,M047,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Evolution,M048,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Evolution,M049,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Evolution,M050,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Evolution,M051,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Evolution,M052,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Evolution,M053,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Evolution,M054,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Legacy,M055,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Legacy,M056,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Legacy,M057,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Legacy,M058,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Legacy,M059,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Legacy,M060,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Legacy,M061,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Legacy,M062,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Legacy,M063,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Legacy,M064,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Legacy,M065,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Legacy,M066,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Legacy,M067,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Legacy,M068,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Legacy,M069,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Legacy,M070,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Legacy,M071,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Legacy,M072,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Reborn,M073,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Reborn,M074,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Reborn,M075,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Reborn,M076,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Reborn,M077,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Reborn,M078,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Reborn,M079,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Reborn,M080,fast,Synopsis de test généré par le pipeline de données Pandas.
,,,,,,,,,
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Reborn,M082,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Reborn,M083,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Reborn,M084,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Reborn,M085,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Reborn,M086,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Reborn,M087,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Reborn,M088,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Reborn,M089,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Reborn,M090,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception The Sequel,M091,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar The Sequel,M092,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix The Sequel,M093,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar The Sequel,M094,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator The Sequel,M095,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight The Sequel,M096,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story The Sequel,M097,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring The Sequel,M098,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land The Sequel,M099,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover The Sequel,M100,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven The Sequel,M101,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away The Sequel,M102,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction The Sequel,M103,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic The Sequel,M104,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad The Sequel,M105,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out The Sequel,M106,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 The Sequel,M107,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite The Sequel,M108,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Chapter II,M109,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Chapter II,M110,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Chapter II,M111,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Chapter II,M112,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Chapter II,M113,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Chapter II,M114,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Chapter II,M115,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Chapter II,M116,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Chapter II,M117,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Chapter II,M118,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Chapter II,M119,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Chapter II,M120,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Chapter II,M121,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Chapter II,M122,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Chapter II,M123,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Chapter II,M124,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Chapter II,M125,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Chapter II,M126,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Trilogy,M127,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Trilogy,M128,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Trilogy,M129,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Trilogy,M130,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Trilogy,M131,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Trilogy,M132,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Trilogy,M133,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Trilogy,M134,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Trilogy,M135,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Trilogy,M136,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Trilogy,M137,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Trilogy,M138,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Trilogy,M139,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Trilogy,M140,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Trilogy,M141,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Trilogy,M142,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Trilogy,M143,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Trilogy,M144,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Saga,M145,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Saga,M146,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Saga,M147,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Saga,M148,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Saga,M149,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Saga,M150,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Saga,M151,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Saga,M152,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Saga,M153,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Saga,M154,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Saga,M155,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Saga,M156,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Saga,M157,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Saga,M158,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Saga,M159,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Saga,M160,LENT,Synopsis de test généré par le pipeline de données Pandas.
,,,,,,,,,
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Saga,M162,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Origins,M163,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Origins,M164,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Origins,M165,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Origins,M166,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Origins,M167,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Origins,M168,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Origins,M169,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Origins,M170,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Origins,M171,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Origins,M172,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Origins,M173,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Origins,M174,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Origins,M175,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Origins,M176,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Origins,M177,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Origins,M178,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Origins,M179,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Origins,M180,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Uncut,M181,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Uncut,M182,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Uncut,M183,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Uncut,M184,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Uncut,M185,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Uncut,M186,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Uncut,M187,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Uncut,M188,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Uncut,M189,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Uncut,M190,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Uncut,M191,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Uncut,M192,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Uncut,M193,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Uncut,M194,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Uncut,M195,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Uncut,M196,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Uncut,M197,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Uncut,M198,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Remastered,M199,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Remastered,M200,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Remastered,M201,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Remastered,M202,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Remastered,M203,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Remastered,M204,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Remastered,M205,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Remastered,M206,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Remastered,M207,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Remastered,M208,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Remastered,M209,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Remastered,M210,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Remastered,M211,LENT,Synopsis de test généré par le pipeline de données Pandas.
